City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
294,Alamogordo,US,32.9,-105.96,75.99,17,1,6.93,clear sky
295,Emerald,AU,-23.53,148.17,68.0,68,0,10.29,clear sky
296,Nenjiang,CN,49.18,125.22,33.71,84,16,8.68,few clouds
297,Kihei,US,20.79,-156.47,75.2,83,40,6.93,scattered clouds
298,Mikhaylovka,RU,50.06,43.24,61.0,73,44,5.01,scattered clouds
299,Kismayo,SO,-0.36,42.55,79.03,77,67,12.82,broken clouds
300,Uusikaupunki,FI,60.8,21.41,33.8,79,75,8.05,light intensity shower rain
301,Kholmogory,RU,64.22,41.66,33.8,95,90,6.71,light rain
302,Kongoussi,BF,13.33,-1.53,96.96,24,62,4.34,broken clouds
303,Derazhnya,UA,49.27,27.43,43.34,80,8,8.77,clear sky
304,Uvat,RU,59.14,68.9,27.99,97,34,7.45,scattered clouds
305,Bol,TD,13.46,14.71,86.34,52,0,2.46,clear sky
306,Faanui,PF,-16.48,-151.75,78.66,83,21,9.31,few clouds
307,Garden City,US,42.33,-83.33,55.0,66,90,13.87,overcast clouds
308,Los Llanos De Aridane,ES,28.66,-17.92,78.8,65,40,21.92,scattered clouds
309,Manyana,BW,-23.4,21.72,86.25,13,0,8.01,clear sky
310,Oranjestad,AW,12.52,-70.03,89.6,66,40,23.04,scattered clouds
311,Bud,US,39.45,-86.18,57.0,71,90,9.17,overcast clouds
312,Menongue,AO,-14.66,17.69,82.11,17,0,4.85,clear sky
313,Airai,TL,-8.93,125.41,61.18,81,33,1.74,scattered clouds
314,Urusha,RU,54.05,122.9,21.69,95,30,0.76,scattered clouds
315,Clinton,US,42.59,-82.92,54.0,93,90,14.99,overcast clouds
316,Manokwari,ID,-0.87,134.08,80.67,75,100,3.94,moderate rain
317,Umarkot,PK,25.36,69.74,89.38,55,47,9.57,scattered clouds
318,Pueblo Nuevo,MX,23.38,-105.38,77.83,38,0,0.47,clear sky
319,Haines Junction,CA,60.75,-137.51,19.44,81,79,0.96,broken clouds
320,Labuhan,ID,-6.88,112.21,79.54,78,52,7.49,broken clouds
321,Merauke,ID,-8.47,140.33,78.67,82,100,10.98,overcast clouds
322,Ereymentau,KZ,51.62,73.1,34.83,78,5,3.91,clear sky
323,Flekkefjord,NO,58.3,6.66,46.99,62,70,12.15,broken clouds
324,Cheyenne,US,41.14,-104.82,28.4,92,90,16.11,mist
325,Okha,RU,53.57,142.95,36.0,82,94,20.76,overcast clouds
326,Rantauprapat,ID,2.1,99.83,75.16,77,100,2.59,overcast clouds
327,Fort Myers Beach,US,26.45,-81.95,87.01,66,20,14.99,few clouds
328,Brownwood,US,31.71,-98.99,77.0,57,1,11.41,clear sky
329,Xining,CN,36.62,101.77,36.81,75,14,1.66,few clouds
330,Kitami,JP,43.8,143.89,46.0,74,0,7.0,clear sky
331,Kuusamo,FI,65.97,29.18,32.0,97,90,10.29,overcast clouds
332,Flinders,AU,-34.58,150.86,59.0,84,70,1.01,broken clouds
333,Tongliao,CN,43.61,122.27,47.77,49,0,11.32,clear sky
334,Kruisfontein,ZA,-34.0,24.73,64.0,65,27,4.0,scattered clouds
335,Chipinge,ZW,-20.19,32.62,68.34,57,3,6.58,clear sky
336,Olenegorsk,RU,68.15,33.3,31.05,92,100,12.01,overcast clouds
337,Rocha,UY,-34.48,-54.33,82.02,63,14,9.44,few clouds
338,Tadine,NC,-21.55,167.88,70.18,83,3,12.68,clear sky
339,Lokosovo,RU,61.13,74.82,27.28,94,67,13.65,broken clouds
340,Nago,JP,26.59,127.98,77.0,78,20,10.29,few clouds
341,Nuuk,GL,64.18,-51.72,42.8,87,40,1.12,scattered clouds
342,Madridejos,ES,39.47,-3.53,71.01,21,64,4.0,broken clouds
343,Itarema,BR,-2.92,-39.92,86.54,52,81,19.48,broken clouds
344,Shitanjing,CN,39.23,106.34,44.94,49,0,3.62,clear sky
345,Grao Mogol,BR,-16.56,-42.89,79.41,51,43,8.46,scattered clouds
346,Nome,US,64.5,-165.41,39.2,80,75,9.17,broken clouds
347,Pangkalanbuun,ID,-2.68,111.62,75.11,97,100,3.94,moderate rain
348,Tigil,RU,57.8,158.67,36.3,85,100,10.0,overcast clouds
349,Saint George,US,37.1,-113.58,60.8,18,1,3.36,clear sky
350,Guerrero Negro,MX,27.98,-114.06,79.36,52,4,7.56,clear sky
351,Pleasanton,US,37.66,-121.87,73.99,45,1,1.25,clear sky
352,Aksarka,RU,66.56,67.8,23.22,96,59,11.81,broken clouds
353,Mlonggo,ID,-6.53,110.7,81.5,63,100,5.28,overcast clouds
354,Tuatapere,NZ,-46.13,167.68,48.0,89,100,1.99,overcast clouds
355,Hovd,MN,48.01,91.64,38.48,62,2,10.76,clear sky
356,Kalagarh,IN,29.5,78.75,68.88,65,47,2.53,scattered clouds
357,Ballina,AU,-28.87,153.57,64.4,93,90,6.93,moderate rain
358,Douentza,ML,15.0,-2.95,100.8,13,5,9.91,clear sky
359,Luderitz,NA,-26.65,15.16,70.0,42,0,24.29,clear sky
